Ci	"X1,a"	"X2,a"	calculate	calculate	calculate	we have
A	-1.525735	1.67408	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	6.069158	5.152899	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-4.146633	1.081567	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-4.994697	2.974933	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-0.837513	-1.655131	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	4.993868	5.231333	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.337295	3.65081	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-4.070525	2.024777	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	4.220618	3.88215	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-2.737036	-4.872351	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.273966	0.495565	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.056881	1.194808	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-4.684017	1.104975	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	3.630935	1.433834	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-2.185886	-2.081777	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-3.365111	-0.169107	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-4.325179	3.413589	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	1.940409	5.095783	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.048443	3.949618	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	4.271519	-1.104565	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	4.962547	-0.460126	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	6.809371	-0.450855	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.69157	-2.421567	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	4.446387	1.692774	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-2.935608	-4.647931	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	3.971036	6.391197	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	5.705124	1.563905	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	3.526251	5.125679	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-1.482916	-2.278128	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-3.713925	0.646251	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-2.757847	-0.008073	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	3.672294	0.054856	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-0.968404	-1.352061	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-2.643946	-1.087158	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	6.352239	-2.638754	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-1.726299	2.018557	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-1.921184	-0.399836	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-1.663443	-0.958986	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
A	-3.174283	-2.524343	" µa,ca"	"?2a,ca"	P(Xa|A)	P(A)
